Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
NA,85+,3229,3717,3747,3578,3371,3242,3029,3189,2931,2848,2688,2542,2484,2382,2080,2298,2621,2172,2539,2470,2430,2013,2250,2219,2320,2222,2086,2130,2057,2084,2123,2042,2203,2271,1927,2252,2182,2288,2298,2313,2407,2384,2308,2406,2473,2468,2610,2633,2687,2867,3216,2244
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by region of usual residence 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E12000001,North East,602,738,676,627,631,635,610,636,606,570,581,535,509,523,410,517,583,479,551,553,519,408,514,499,509,451,495,502,514,456,507,479,464,482,434,512,539,504,507,501,513,550,509,536,510,502,550,562,612,595,719,500
E12000002,North West,1665,1840,1786,1666,1625,1566,1528,1519,1488,1464,1450,1364,1313,1373,1217,1362,1495,1279,1368,1329,1349,1208,1311,1272,1328,1174,1278,1225,1196,1174,1192,1171,1260,1299,1117,1307,1285,1221,1305,1289,1340,1359,1375,1356,1365,1381,1419,1453,1538,1509,1709,1194
E12000003,Yorkshire and The Humber,1208,1351,1383,1242,1243,1224,1186,1159,1123,1110,1121,1065,1045,929,795,1010,1053,872,1053,1030,936,818,950,918,901,914,904,953,856,881,891,882,849,848,836,921,877,919,957,946,1011,1019,903,1006,1042,1027,1089,1045,1013,1048,1181,840
E12000004,East Midlands,1016,1170,1190,1116,1045,1036,964,954,963,1038,963,947,870,835,708,812,882,803,988,817,802,726,841,819,841,804,802,862,809,738,784,772,747,783,667,808,758,814,782,818,827,806,743,850,931,898,862,878,970,971,1039,685
E12000005,West Midlands,1243,1439,1414,1362,1293,1234,1243,1216,1184,1163,1140,1034,1024,1048,868,978,1125,902,1059,1079,1088,849,1060,1016,991,996,985,973,947,941,911,943,936,966,780,1017,1001,978,990,1003,1001,997,1058,1014,1117,1096,1080,1065,1066,1128,1318,844
E12000006,East,1187,1450,1484,1488,1384,1411,1253,1327,1328,1230,1150,1134,1109,1056,918,996,1137,956,1153,1124,1118,813,1016,990,991,1028,1010,1005,970,949,955,1005,1018,1002,853,1066,990,1096,1071,1057,1085,1056,1037,1129,1132,1091,1148,1168,1139,1226,1322,878
E12000007,London,1173,1296,1276,1198,1210,1161,1095,1114,930,969,946,930,888,905,801,896,1053,804,970,914,953,787,876,829,902,903,820,843,867,783,792,858,929,907,766,866,871,900,882,923,928,934,931,897,931,949,1038,972,1008,1042,1153,814
E12000008,South East,1899,2161,2195,1999,1920,1916,1847,1834,1673,1738,1593,1557,1520,1522,1316,1409,1678,1356,1685,1639,1526,1217,1527,1380,1473,1456,1395,1393,1389,1381,1345,1346,1481,1502,1205,1445,1493,1422,1468,1521,1497,1541,1539,1473,1572,1539,1623,1608,1649,1765,1961,1305
E12000009,South West,1228,1419,1346,1278,1359,1339,1217,1312,1221,1144,1083,1107,1064,1075,863,984,1159,997,1155,1161,1118,897,1066,1015,1058,1038,996,1031,979,963,946,982,998,1001,908,993,1006,1074,1109,1063,1068,1098,1020,1105,1117,1103,1151,1123,1140,1204,1332,863
W92000004,Wales,744,825,835,881,749,723,690,701,715,634,653,635,658,642,577,654,727,600,687,615,602,586,584,599,608,546,556,564,551,586,590,572,592,570,555,542,609,585,593,631,640,650,608,595,598,666,639,636,630,708,762,541
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Footnotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1 This average is based on the actual number of death registrations recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Counts of deaths by underlying cause exclude deaths at age under 28 days.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Coding of deaths by underlying cause for the latest week is not yet complete.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4 For deaths registered from January 2014, cause of death is coded to the ICD-10 classification using IRIS software. Further information about the implementation of the software is available on the ONS website.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5 Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Office for National Statistics,NA,NA,Released:,43124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
