Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
NA,85+,3310,2856,2856,2845,2750,2836,2598,2809,2788,2679,2729,2396,2496,2976,2828,2677,2550,2192,2545,2389,2350,1800,2391,2189,2171,2250,2155,2267,2236,2294,2222,2232,2099,2257,1824,2316,2068,2113,2072,2150,2327,2399,2301,2458,2613,2602,2623,2542,2840,2721,2929,2076
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by region of usual residence 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E12000001,North East,705,600,612,631,620,599,588,582,582,569,552,474,578,606,594,539,571,495,547,533,484,431,542,473,528,488,507,485,538,476,467,492,476,499,398,478,491,435,481,465,520,511,530,535,546,547,536,550,589,561,679,456
E12000002,North West,1748,1532,1602,1516,1459,1466,1443,1497,1505,1525,1460,1331,1362,1514,1572,1470,1371,1280,1420,1327,1300,1138,1306,1252,1272,1157,1269,1242,1295,1223,1316,1244,1279,1250,1114,1312,1222,1230,1219,1331,1328,1322,1401,1351,1390,1513,1432,1491,1529,1444,1594,1087
E12000003,Yorkshire and The Humber,1284,1148,1119,1131,1109,1066,1083,1115,1107,1097,1102,937,968,1128,1105,1008,1014,941,1055,927,936,814,1038,923,925,936,910,948,877,910,879,886,887,860,800,942,914,890,856,907,940,919,914,1041,1017,1025,1022,973,1193,1036,1097,794
E12000004,East Midlands,1067,956,929,858,954,917,881,930,913,911,917,809,859,911,900,908,857,703,914,862,826,680,839,858,804,801,770,784,830,762,739,780,742,793,626,844,736,730,787,777,791,831,850,850,889,892,887,888,932,893,981,759
E12000005,West Midlands,1396,1208,1209,1195,1197,1262,1088,1087,1144,1104,1136,891,942,1232,1183,1134,1065,929,1069,1013,995,776,1011,981,1015,954,956,943,914,923,983,941,951,1039,764,974,898,892,971,938,966,977,966,1013,1045,1117,1090,1076,1164,1098,1149,715
E12000006,East,1401,1237,1253,1236,1160,1155,1057,1180,1240,1190,1143,923,1079,1190,1217,1189,1147,954,1190,1147,1103,790,1119,1037,966,971,950,1054,988,1013,1004,1031,1005,991,877,981,998,979,879,945,1069,1020,1034,1048,1127,1184,1131,1176,1212,1107,1207,774
E12000007,London,1226,1048,1068,1065,1059,1040,999,1021,1093,1008,1058,900,1039,1111,1007,999,969,876,971,884,884,710,939,858,831,880,796,798,847,940,822,801,831,822,795,873,839,854,852,863,919,931,860,904,976,941,987,936,1029,933,1052,761
E12000008,South East,1951,1771,1710,1730,1604,1718,1596,1707,1742,1694,1595,1542,1611,1828,1785,1683,1634,1365,1646,1534,1489,1242,1468,1410,1408,1497,1407,1463,1443,1414,1311,1346,1317,1419,1251,1384,1433,1399,1345,1456,1524,1542,1472,1630,1691,1605,1679,1578,1658,1634,1784,1236
E12000009,South West,1424,1263,1219,1207,1169,1222,1171,1215,1218,1148,1292,1122,1104,1319,1282,1250,1128,994,1143,1092,1082,817,1004,993,1039,964,1031,1052,1023,1027,1052,974,983,1000,797,1033,988,941,987,1024,1056,1078,1043,1114,1139,1154,1154,1112,1201,1145,1223,846
W92000004,Wales,809,711,720,717,690,700,657,696,721,734,738,668,712,742,738,714,629,569,652,611,624,500,584,578,558,549,524,599,560,610,580,641,574,619,470,552,576,563,592,562,587,624,624,644,626,681,661,643,693,663,691,558
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Footnotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1 This average is based on the actual number of death registrations recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Counts of deaths by underlying cause exclude deaths at age under 28 days.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Coding of deaths by underlying cause for the latest week is not yet complete.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4 For deaths registered from January 2014, cause of death is coded to the ICD-10 classification using IRIS software. Further information about the implementation of the software is available on the ONS website.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5 Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Office for National Statistics,NA,NA,Released:,42752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
