Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
NA,85+,2881,3074,2834,2835,2739,2826,2846,2738,2690,2604,2592,2496,2356,2401,2420,2182,2398,2711,2123,2437,2398,1897,2344,2162,2200,2164,2107,2069,2070,2128,2099,2173,1955,2048,1961,2257,2157,2189,2148,2249,2399,2442,2400,2441,2677,2625,2616,2638,2644,2696,2973,1931
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by region of usual residence 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E12000001,North East,574,643,627,640,618,608,569,610,572,582,527,532,529,518,510,459,551,541,484,548,530,436,554,507,478,475,437,458,478,534,536,530,497,505,466,473,482,494,538,491,527,567,540,537,553,607,582,563,558,585,670,411
E12000002,North West,1456,1612,1566,1593,1485,1595,1618,1495,1425,1463,1393,1437,1278,1277,1341,1225,1365,1493,1214,1402,1397,1176,1349,1313,1344,1250,1269,1272,1287,1237,1234,1149,1237,1203,1153,1248,1328,1283,1299,1322,1400,1400,1361,1338,1455,1402,1464,1469,1477,1637,1712,1200
E12000003,Yorkshire and The Humber,1148,1279,1197,1137,1131,1133,1189,1124,1109,1083,1054,1087,943,959,1034,910,996,1125,924,980,1024,782,1025,889,931,984,896,932,841,895,936,867,857,927,832,937,916,954,906,948,1005,1019,1001,1033,1053,1070,1039,1139,1011,1102,1173,737
E12000004,East Midlands,964,1089,979,1037,963,988,1033,928,927,946,879,890,875,876,858,759,856,986,776,887,888,699,880,817,751,790,750,747,809,774,782,795,749,726,697,867,774,827,842,875,847,863,846,877,880,889,931,935,958,973,1050,729
E12000005,West Midlands,1180,1299,1187,1131,1150,1241,1231,1143,1188,1150,1092,1062,930,1050,1084,928,1008,1136,906,1082,1070,840,1082,950,938,1013,940,949,962,882,929,953,969,918,826,939,1001,974,1027,1008,1027,1093,1019,967,1110,1080,1138,1184,1083,1130,1269,720
E12000006,East,1136,1386,1344,1291,1202,1283,1342,1218,1214,1116,1198,1066,1136,1224,1188,1014,1084,1139,943,1112,1097,842,982,1012,1011,1028,981,995,994,1024,988,1026,933,964,838,1115,1088,1049,1014,1059,1073,1083,1063,1100,1181,1090,1166,1116,1184,1176,1238,716
E12000007,London,1021,1137,1073,1045,1066,1088,1061,1045,1009,1004,975,925,910,928,937,834,951,1040,807,927,876,809,919,900,900,892,833,875,829,833,911,891,892,826,784,976,916,889,840,846,887,886,895,976,974,1041,1023,1025,986,1044,1028,653
E12000008,South East,1586,1927,1936,1875,1718,1738,1802,1777,1712,1708,1601,1640,1540,1582,1623,1350,1495,1782,1456,1570,1620,1252,1516,1452,1510,1481,1431,1357,1328,1376,1424,1334,1355,1389,1245,1518,1399,1385,1404,1573,1557,1556,1491,1547,1701,1690,1618,1648,1647,1690,1709,1094
E12000009,South West,1136,1394,1236,1229,1191,1251,1207,1234,1178,1198,1149,1089,1047,1039,1037,919,1053,1251,922,1078,1126,886,1182,986,1032,1005,962,972,981,982,926,1010,978,963,814,1014,1020,982,1017,1059,1026,1040,1107,1118,1102,1083,1203,1166,1157,1130,1288,766
W92000004,Wales,718,809,683,734,745,701,748,695,684,622,666,628,654,642,637,580,678,688,600,658,627,518,626,598,542,564,534,588,553,543,570,542,589,553,558,582,567,572,611,597,590,622,670,642,653,674,699,689,737,699,767,496
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Footnotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1 This average is based on the actual number of death registrations recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Counts of deaths by underlying cause exclude deaths at age under 28 days.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Coding of deaths by underlying cause for the latest week is not yet complete.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4 For deaths registered from January 2014, cause of death is coded to the ICD-10 classification using IRIS software. Further information about the implementation of the software is available on the ONS website.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5 Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Office for National Statistics,NA,NA,Released:,14 January 2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
