Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
NA,85+,3485,4122,3935,3858,3634,3331,3042,3222,2808,3422,3421,3081,2577,2761,3052,2750,2505,2267,2029,2341,2156,1864,2287,2136,2101,2104,2147,2159,2081,2114,2096,2190,1986,2053,1784,2127,2100,2100,2104,2193,2257,2321,2240,2220,2466,2368,2304,2374,2490,2552,2702,1776
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by region of usual residence 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E12000001,North East,640,837,783,779,740,663,612,671,551,677,614,576,498,534,631,559,516,534,510,504,501,458,548,454,475,484,477,470,471,477,486,448,446,477,437,534,465,475,483,514,486,527,526,511,520,490,511,505,539,561,625,459
E12000002,North West,1747,2113,1828,1855,1728,1615,1665,1677,1485,1690,1690,1516,1335,1470,1613,1456,1391,1347,1116,1390,1278,1142,1309,1167,1217,1214,1280,1239,1229,1219,1228,1231,1171,1134,1058,1152,1231,1226,1262,1302,1291,1274,1215,1330,1403,1408,1357,1330,1377,1422,1439,1020
E12000003,Yorkshire and The Humber,1300,1481,1387,1363,1285,1206,1230,1196,1125,1192,1203,1124,973,1105,1199,1037,987,922,886,888,913,769,985,947,944,882,895,901,942,907,817,913,880,913,779,956,865,912,904,948,963,968,956,964,981,969,1013,998,1006,1108,1148,688
E12000004,East Midlands,1085,1266,1175,1165,1154,1109,1024,1034,907,1072,1116,1038,819,886,1068,986,904,892,740,943,828,716,884,777,764,822,788,758,730,762,830,793,742,780,630,804,814,776,766,781,832,815,880,810,813,899,848,838,830,873,930,651
E12000005,West Midlands,1313,1468,1544,1433,1441,1335,1285,1251,1308,1390,1343,1263,1019,1054,1228,1170,969,1113,823,1105,983,859,1065,967,971,954,998,961,949,897,961,946,910,983,793,1005,956,947,965,1020,980,979,1079,890,1081,1047,1001,1076,1098,1034,1145,660
E12000006,East,1404,1677,1562,1553,1468,1359,1307,1300,1088,1390,1358,1251,1074,1196,1425,1248,1209,1117,937,1125,1053,839,1157,991,985,1011,940,993,953,1008,1010,1028,991,993,877,996,999,990,957,990,1071,1045,993,1042,1094,1128,1071,1077,1106,1130,1124,695
E12000007,London,1130,1342,1239,1264,1208,1041,1171,1105,1060,1177,1121,1095,910,1014,1133,1039,947,917,841,913,932,784,890,921,855,824,814,941,905,955,883,947,870,808,741,904,834,865,868,898,860,941,905,896,925,940,903,948,958,1007,1035,655
E12000008,South East,1902,2371,2287,2184,2046,1867,1810,1757,1611,1919,1954,1853,1518,1578,1883,1743,1613,1570,1294,1511,1512,1187,1435,1442,1448,1408,1426,1403,1373,1374,1396,1453,1361,1392,1170,1464,1440,1503,1375,1387,1491,1570,1376,1465,1543,1538,1503,1523,1594,1573,1688,1062
E12000009,South West,1393,1552,1535,1460,1382,1378,1283,1314,997,1560,1414,1283,1047,1142,1293,1212,1117,1082,929,1068,997,830,1057,1085,1019,983,991,1025,971,941,957,997,902,900,845,1000,986,986,965,1020,1043,1088,1004,988,1106,1077,1062,1040,1076,1106,1225,756
W92000004,Wales,783,904,885,850,815,801,803,789,634,896,918,774,633,730,743,688,614,633,530,667,603,538,607,561,562,599,625,583,548,560,574,537,518,565,511,594,579,598,560,595,606,640,633,604,642,656,657,673,674,708,724,461
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Footnotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1 This average is based on the actual number of death registrations recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Counts of deaths by underlying cause exclude deaths at age under 28 days.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Coding of deaths by underlying cause for the latest week is not yet complete.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4 For deaths registered from January 2014, cause of death is coded to the ICD-10 classification using IRIS software. Further information about the implementation of the software is available on the ONS website.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5 Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Office for National Statistics,NA,NA,Released:,15 January 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
