Category,Counts,Date,WeekNo
Total deaths: average of corresponding,9696,2010-04-16,15
Total deaths: average of corresponding,10259.8,2010-04-23,16
Total deaths: average of corresponding,10025,2010-04-30,17
Total deaths: average of corresponding,9378.8,2010-05-07,18
Total deaths: average of corresponding,9090,2010-05-14,19
Total deaths: average of corresponding,9474.8,2010-05-21,20
Total deaths: average of corresponding,9384.2,2010-05-28,21
Total deaths: average of corresponding,8464.6,2010-06-04,22
Total deaths: average of corresponding,9332.4,2010-06-11,23
Total deaths: average of corresponding,9072.8,2010-06-18,24
Total deaths: average of corresponding,9013.8,2010-06-25,25
Total deaths: average of corresponding,8791.6,2010-07-02,26
Total deaths: average of corresponding,8914,2010-07-09,27
Total deaths: average of corresponding,8745.2,2010-07-16,28
Total deaths: average of corresponding,8762.8,2010-07-23,29
Total deaths: average of corresponding,8846.2,2010-07-30,30
Total deaths: average of corresponding,8669.4,2010-08-06,31
Total deaths: average of corresponding,8611.4,2010-08-13,32
Total deaths: average of corresponding,8651.4,2010-08-20,33
Total deaths: average of corresponding,8683.8,2010-08-27,34
Total deaths: average of corresponding,8100.8,2010-09-03,35
Total deaths: average of corresponding,8596.4,2010-09-10,36
Total deaths: average of corresponding,8654,2010-09-17,37
Total deaths: average of corresponding,8652.4,2010-09-24,38
Total deaths: average of corresponding,8827,2010-10-01,39
Total deaths: average of corresponding,8894.6,2010-10-08,40
Total deaths: average of corresponding,9124.6,2010-10-15,41
Total deaths: average of corresponding,9192,2010-10-22,42
Total deaths: average of corresponding,9327.6,2010-10-29,43
Total deaths: average of corresponding,9420.2,2010-11-05,44
Total deaths: average of corresponding,9547.8,2010-11-12,45
Total deaths: average of corresponding,9671.2,2010-11-19,46
Total deaths: average of corresponding,9856,2010-11-26,47
Total deaths: average of corresponding,9898.4,2010-12-03,48
Total deaths: average of corresponding,10175.2,2010-12-10,49
Total deaths: average of corresponding,10453.6,2010-12-17,50
Total deaths: average of corresponding,10925,2010-12-24,51
Total deaths: average of corresponding,8825,2010-12-31,52
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,2345,2010-01-08,1
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,2293,2010-01-15,2
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1955,2010-01-22,3
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1698,2010-01-29,4
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1635,2010-02-05,5
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1566,2010-02-12,6
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1551,2010-02-19,7
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1468,2010-02-26,8
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1412,2010-03-05,9
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1381,2010-03-12,10
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1303,2010-03-19,11
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1290,2010-03-26,12
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1092,2010-04-02,13
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1415,2010-04-09,14
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1305,2010-04-16,15
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1233,2010-04-23,16
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1232,2010-04-30,17
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1144,2010-05-07,18
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1214,2010-05-14,19
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1164,2010-05-21,20
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1315,2010-05-28,21
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1057,2010-06-04,22
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1191,2010-06-11,23
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,988,2010-06-18,24
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,984,2010-06-25,25
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1135,2010-07-02,26
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1074,2010-07-09,27
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,978,2010-07-16,28
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,878,2010-07-23,29
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,903,2010-07-30,30
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,906,2010-08-06,31
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,914,2010-08-13,32
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1046,2010-08-20,33
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,962,2010-08-27,34
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,888,2010-09-03,35
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1032,2010-09-10,36
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1003,2010-09-17,37
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1012,2010-09-24,38
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1068,2010-10-01,39
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1183,2010-10-08,40
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1188,2010-10-15,41
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1232,2010-10-22,42
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1194,2010-10-29,43
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1306,2010-11-05,44
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1274,2010-11-12,45
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1224,2010-11-19,46
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1250,2010-11-26,47
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1215,2010-12-03,48
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1586,2010-12-10,49
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1674,2010-12-17,50
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,2000,2010-12-24,51
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001,1916,2010-12-31,52
Persons_Under 1 year,61,2010-01-08,1
Persons_Under 1 year,69,2010-01-15,2
Persons_Under 1 year,66,2010-01-22,3
Persons_Under 1 year,68,2010-01-29,4
Persons_Under 1 year,72,2010-02-05,5
Persons_Under 1 year,79,2010-02-12,6
Persons_Under 1 year,71,2010-02-19,7
Persons_Under 1 year,73,2010-02-26,8
Persons_Under 1 year,55,2010-03-05,9
Persons_Under 1 year,45,2010-03-12,10
Persons_Under 1 year,53,2010-03-19,11
Persons_Under 1 year,61,2010-03-26,12
Persons_Under 1 year,50,2010-04-02,13
Persons_Under 1 year,66,2010-04-09,14
Persons_Under 1 year,63,2010-04-16,15
Persons_Under 1 year,66,2010-04-23,16
Persons_Under 1 year,59,2010-04-30,17
Persons_Under 1 year,59,2010-05-07,18
Persons_Under 1 year,70,2010-05-14,19
Persons_Under 1 year,71,2010-05-21,20
Persons_Under 1 year,78,2010-05-28,21
Persons_Under 1 year,49,2010-06-04,22
Persons_Under 1 year,46,2010-06-11,23
Persons_Under 1 year,72,2010-06-18,24
Persons_Under 1 year,57,2010-06-25,25
Persons_Under 1 year,58,2010-07-02,26
Persons_Under 1 year,61,2010-07-09,27
Persons_Under 1 year,74,2010-07-16,28
Persons_Under 1 year,55,2010-07-23,29
Persons_Under 1 year,68,2010-07-30,30
Persons_Under 1 year,61,2010-08-06,31
Persons_Under 1 year,62,2010-08-13,32
Persons_Under 1 year,46,2010-08-20,33
Persons_Under 1 year,58,2010-08-27,34
Persons_Under 1 year,52,2010-09-03,35
Persons_Under 1 year,54,2010-09-10,36
Persons_Under 1 year,68,2010-09-17,37
Persons_Under 1 year,67,2010-09-24,38
Persons_Under 1 year,68,2010-10-01,39
Persons_Under 1 year,66,2010-10-08,40
Persons_Under 1 year,70,2010-10-15,41
Persons_Under 1 year,46,2010-10-22,42
Persons_Under 1 year,55,2010-10-29,43
Persons_Under 1 year,66,2010-11-05,44
Persons_Under 1 year,58,2010-11-12,45
Persons_Under 1 year,55,2010-11-19,46
Persons_Under 1 year,57,2010-11-26,47
Persons_Under 1 year,51,2010-12-03,48
Persons_Under 1 year,59,2010-12-10,49
Persons_Under 1 year,62,2010-12-17,50
Persons_Under 1 year,64,2010-12-24,51
Persons_Under 1 year,40,2010-12-31,52
Persons_01-14,24,2010-01-08,1
Persons_01-14,29,2010-01-15,2
Persons_01-14,18,2010-01-22,3
Persons_01-14,21,2010-01-29,4
Persons_01-14,18,2010-02-05,5
Persons_01-14,28,2010-02-12,6
Persons_01-14,17,2010-02-19,7
Persons_01-14,27,2010-02-26,8
Persons_01-14,31,2010-03-05,9
Persons_01-14,28,2010-03-12,10
Persons_01-14,24,2010-03-19,11
Persons_01-14,32,2010-03-26,12
Persons_01-14,16,2010-04-02,13
Persons_01-14,19,2010-04-09,14
Persons_01-14,21,2010-04-16,15
Persons_01-14,31,2010-04-23,16
Persons_01-14,19,2010-04-30,17
Persons_01-14,13,2010-05-07,18
Persons_01-14,25,2010-05-14,19
Persons_01-14,22,2010-05-21,20
Persons_01-14,26,2010-05-28,21
Persons_01-14,20,2010-06-04,22
Persons_01-14,14,2010-06-11,23
Persons_01-14,18,2010-06-18,24
Persons_01-14,15,2010-06-25,25
Persons_01-14,22,2010-07-02,26
Persons_01-14,20,2010-07-09,27
Persons_01-14,26,2010-07-16,28
Persons_01-14,19,2010-07-23,29
Persons_01-14,15,2010-07-30,30
Persons_01-14,17,2010-08-06,31
Persons_01-14,20,2010-08-13,32
Persons_01-14,20,2010-08-20,33
Persons_01-14,13,2010-08-27,34
Persons_01-14,13,2010-09-03,35
Persons_01-14,22,2010-09-10,36
Persons_01-14,21,2010-09-17,37
Persons_01-14,19,2010-09-24,38
Persons_01-14,23,2010-10-01,39
Persons_01-14,24,2010-10-08,40
Persons_01-14,28,2010-10-15,41
Persons_01-14,22,2010-10-22,42
Persons_01-14,23,2010-10-29,43
Persons_01-14,21,2010-11-05,44
Persons_01-14,16,2010-11-12,45
Persons_01-14,11,2010-11-19,46
Persons_01-14,23,2010-11-26,47
Persons_01-14,19,2010-12-03,48
Persons_01-14,29,2010-12-10,49
Persons_01-14,23,2010-12-17,50
Persons_01-14,35,2010-12-24,51
Persons_01-14,21,2010-12-31,52
Persons_15-44,299,2010-01-08,1
Persons_15-44,331,2010-01-15,2
Persons_15-44,347,2010-01-22,3
Persons_15-44,336,2010-01-29,4
Persons_15-44,317,2010-02-05,5
Persons_15-44,308,2010-02-12,6
Persons_15-44,329,2010-02-19,7
Persons_15-44,340,2010-02-26,8
Persons_15-44,348,2010-03-05,9
Persons_15-44,334,2010-03-12,10
Persons_15-44,294,2010-03-19,11
Persons_15-44,303,2010-03-26,12
Persons_15-44,230,2010-04-02,13
Persons_15-44,288,2010-04-09,14
Persons_15-44,321,2010-04-16,15
Persons_15-44,333,2010-04-23,16
Persons_15-44,325,2010-04-30,17
Persons_15-44,240,2010-05-07,18
Persons_15-44,335,2010-05-14,19
Persons_15-44,356,2010-05-21,20
Persons_15-44,352,2010-05-28,21
Persons_15-44,244,2010-06-04,22
Persons_15-44,303,2010-06-11,23
Persons_15-44,291,2010-06-18,24
Persons_15-44,311,2010-06-25,25
Persons_15-44,279,2010-07-02,26
Persons_15-44,313,2010-07-09,27
Persons_15-44,291,2010-07-16,28
Persons_15-44,302,2010-07-23,29
Persons_15-44,289,2010-07-30,30
Persons_15-44,355,2010-08-06,31
Persons_15-44,327,2010-08-13,32
Persons_15-44,280,2010-08-20,33
Persons_15-44,278,2010-08-27,34
Persons_15-44,249,2010-09-03,35
Persons_15-44,322,2010-09-10,36
Persons_15-44,320,2010-09-17,37
Persons_15-44,317,2010-09-24,38
Persons_15-44,282,2010-10-01,39
Persons_15-44,315,2010-10-08,40
Persons_15-44,307,2010-10-15,41
Persons_15-44,318,2010-10-22,42
Persons_15-44,323,2010-10-29,43
Persons_15-44,318,2010-11-05,44
Persons_15-44,307,2010-11-12,45
Persons_15-44,319,2010-11-19,46
Persons_15-44,307,2010-11-26,47
Persons_15-44,280,2010-12-03,48
Persons_15-44,338,2010-12-10,49
Persons_15-44,349,2010-12-17,50
Persons_15-44,405,2010-12-24,51
Persons_15-44,218,2010-12-31,52
Persons_45-64,1570,2010-01-08,1
Persons_45-64,1465,2010-01-15,2
Persons_45-64,1392,2010-01-22,3
Persons_45-64,1300,2010-01-29,4
Persons_45-64,1308,2010-02-05,5
Persons_45-64,1239,2010-02-12,6
Persons_45-64,1276,2010-02-19,7
Persons_45-64,1315,2010-02-26,8
Persons_45-64,1230,2010-03-05,9
Persons_45-64,1259,2010-03-12,10
Persons_45-64,1307,2010-03-19,11
Persons_45-64,1227,2010-03-26,12
Persons_45-64,1035,2010-04-02,13
Persons_45-64,1242,2010-04-09,14
Persons_45-64,1276,2010-04-16,15
Persons_45-64,1243,2010-04-23,16
Persons_45-64,1220,2010-04-30,17
Persons_45-64,1119,2010-05-07,18
Persons_45-64,1262,2010-05-14,19
Persons_45-64,1165,2010-05-21,20
Persons_45-64,1205,2010-05-28,21
Persons_45-64,1080,2010-06-04,22
Persons_45-64,1292,2010-06-11,23
Persons_45-64,1182,2010-06-18,24
Persons_45-64,1145,2010-06-25,25
Persons_45-64,1161,2010-07-02,26
Persons_45-64,1203,2010-07-09,27
Persons_45-64,1174,2010-07-16,28
Persons_45-64,1200,2010-07-23,29
Persons_45-64,1075,2010-07-30,30
Persons_45-64,1211,2010-08-06,31
Persons_45-64,1086,2010-08-13,32
Persons_45-64,1144,2010-08-20,33
Persons_45-64,1160,2010-08-27,34
Persons_45-64,1045,2010-09-03,35
Persons_45-64,1176,2010-09-10,36
Persons_45-64,1206,2010-09-17,37
Persons_45-64,1131,2010-09-24,38
Persons_45-64,1160,2010-10-01,39
Persons_45-64,1214,2010-10-08,40
Persons_45-64,1315,2010-10-15,41
Persons_45-64,1205,2010-10-22,42
Persons_45-64,1198,2010-10-29,43
Persons_45-64,1215,2010-11-05,44
Persons_45-64,1221,2010-11-12,45
Persons_45-64,1185,2010-11-19,46
Persons_45-64,1198,2010-11-26,47
Persons_45-64,1199,2010-12-03,48
Persons_45-64,1396,2010-12-10,49
Persons_45-64,1466,2010-12-17,50
Persons_45-64,1463,2010-12-24,51
Persons_45-64,1254,2010-12-31,52
Persons_65-74,2049,2010-01-08,1
Persons_65-74,1860,2010-01-15,2
Persons_65-74,1781,2010-01-22,3
Persons_65-74,1666,2010-01-29,4
Persons_65-74,1588,2010-02-05,5
Persons_65-74,1596,2010-02-12,6
Persons_65-74,1560,2010-02-19,7
Persons_65-74,1600,2010-02-26,8
Persons_65-74,1547,2010-03-05,9
Persons_65-74,1552,2010-03-12,10
Persons_65-74,1572,2010-03-19,11
Persons_65-74,1566,2010-03-26,12
Persons_65-74,1256,2010-04-02,13
Persons_65-74,1603,2010-04-09,14
Persons_65-74,1646,2010-04-16,15
Persons_65-74,1525,2010-04-23,16
Persons_65-74,1564,2010-04-30,17
Persons_65-74,1379,2010-05-07,18
Persons_65-74,1497,2010-05-14,19
Persons_65-74,1525,2010-05-21,20
Persons_65-74,1616,2010-05-28,21
Persons_65-74,1371,2010-06-04,22
Persons_65-74,1527,2010-06-11,23
Persons_65-74,1497,2010-06-18,24
Persons_65-74,1437,2010-06-25,25
Persons_65-74,1497,2010-07-02,26
Persons_65-74,1376,2010-07-09,27
Persons_65-74,1404,2010-07-16,28
Persons_65-74,1359,2010-07-23,29
Persons_65-74,1377,2010-07-30,30
Persons_65-74,1434,2010-08-06,31
Persons_65-74,1386,2010-08-13,32
Persons_65-74,1425,2010-08-20,33
Persons_65-74,1462,2010-08-27,34
Persons_65-74,1292,2010-09-03,35
Persons_65-74,1539,2010-09-10,36
Persons_65-74,1476,2010-09-17,37
Persons_65-74,1455,2010-09-24,38
Persons_65-74,1440,2010-10-01,39
Persons_65-74,1455,2010-10-08,40
Persons_65-74,1467,2010-10-15,41
Persons_65-74,1495,2010-10-22,42
Persons_65-74,1462,2010-10-29,43
Persons_65-74,1581,2010-11-05,44
Persons_65-74,1507,2010-11-12,45
Persons_65-74,1540,2010-11-19,46
Persons_65-74,1502,2010-11-26,47
Persons_65-74,1516,2010-12-03,48
Persons_65-74,1736,2010-12-10,49
Persons_65-74,1642,2010-12-17,50
Persons_65-74,1796,2010-12-24,51
Persons_65-74,1514,2010-12-31,52
Persons_75-84,3952,2010-01-08,1
Persons_75-84,3883,2010-01-15,2
Persons_75-84,3501,2010-01-22,3
Persons_75-84,3359,2010-01-29,4
Persons_75-84,3123,2010-02-05,5
Persons_75-84,3002,2010-02-12,6
Persons_75-84,3015,2010-02-19,7
Persons_75-84,3106,2010-02-26,8
Persons_75-84,3003,2010-03-05,9
Persons_75-84,2917,2010-03-12,10
Persons_75-84,2895,2010-03-19,11
Persons_75-84,2870,2010-03-26,12
Persons_75-84,2385,2010-04-02,13
Persons_75-84,2958,2010-04-09,14
Persons_75-84,3058,2010-04-16,15
Persons_75-84,2821,2010-04-23,16
Persons_75-84,2857,2010-04-30,17
Persons_75-84,2574,2010-05-07,18
Persons_75-84,2973,2010-05-14,19
Persons_75-84,2689,2010-05-21,20
Persons_75-84,2861,2010-05-28,21
Persons_75-84,2416,2010-06-04,22
Persons_75-84,2727,2010-06-11,23
Persons_75-84,2530,2010-06-18,24
Persons_75-84,2502,2010-06-25,25
Persons_75-84,2644,2010-07-02,26
Persons_75-84,2688,2010-07-09,27
Persons_75-84,2582,2010-07-16,28
Persons_75-84,2533,2010-07-23,29
Persons_75-84,2464,2010-07-30,30
Persons_75-84,2557,2010-08-06,31
Persons_75-84,2478,2010-08-13,32
Persons_75-84,2604,2010-08-20,33
Persons_75-84,2531,2010-08-27,34
Persons_75-84,2316,2010-09-03,35
Persons_75-84,2684,2010-09-10,36
Persons_75-84,2534,2010-09-17,37
Persons_75-84,2651,2010-09-24,38
Persons_75-84,2564,2010-10-01,39
Persons_75-84,2785,2010-10-08,40
Persons_75-84,2703,2010-10-15,41
Persons_75-84,2766,2010-10-22,42
Persons_75-84,2861,2010-10-29,43
Persons_75-84,2851,2010-11-05,44
Persons_75-84,2829,2010-11-12,45
Persons_75-84,2856,2010-11-19,46
Persons_75-84,2932,2010-11-26,47
Persons_75-84,2764,2010-12-03,48
Persons_75-84,3336,2010-12-10,49
Persons_75-84,3193,2010-12-17,50
Persons_75-84,3465,2010-12-24,51
Persons_75-84,2861,2010-12-31,52
Persons_85+,5012,2010-01-08,1
Persons_85+,4902,2010-01-15,2
Persons_85+,4654,2010-01-22,3
Persons_85+,4305,2010-01-29,4
Persons_85+,4089,2010-02-05,5
Persons_85+,3864,2010-02-12,6
Persons_85+,3834,2010-02-19,7
Persons_85+,3833,2010-02-26,8
Persons_85+,3765,2010-03-05,9
Persons_85+,3653,2010-03-12,10
Persons_85+,3581,2010-03-19,11
Persons_85+,3554,2010-03-26,12
Persons_85+,2971,2010-04-02,13
Persons_85+,3553,2010-04-09,14
Persons_85+,3496,2010-04-16,15
Persons_85+,3429,2010-04-23,16
Persons_85+,3458,2010-04-30,17
Persons_85+,2955,2010-05-07,18
Persons_85+,3321,2010-05-14,19
Persons_85+,3361,2010-05-21,20
Persons_85+,3310,2010-05-28,21
Persons_85+,2996,2010-06-04,22
Persons_85+,3350,2010-06-11,23
Persons_85+,2923,2010-06-18,24
Persons_85+,2994,2010-06-25,25
Persons_85+,3306,2010-07-02,26
Persons_85+,2964,2010-07-09,27
Persons_85+,2988,2010-07-16,28
Persons_85+,2791,2010-07-23,29
Persons_85+,2965,2010-07-30,30
Persons_85+,2828,2010-08-06,31
Persons_85+,2958,2010-08-13,32
Persons_85+,3063,2010-08-20,33
Persons_85+,3123,2010-08-27,34
Persons_85+,2741,2010-09-03,35
Persons_85+,3164,2010-09-10,36
Persons_85+,3093,2010-09-17,37
Persons_85+,3299,2010-09-24,38
Persons_85+,3218,2010-10-01,39
Persons_85+,3334,2010-10-08,40
Persons_85+,3328,2010-10-15,41
Persons_85+,3433,2010-10-22,42
Persons_85+,3350,2010-10-29,43
Persons_85+,3616,2010-11-05,44
Persons_85+,3468,2010-11-12,45
Persons_85+,3471,2010-11-19,46
Persons_85+,3454,2010-11-26,47
Persons_85+,3391,2010-12-03,48
Persons_85+,4298,2010-12-10,49
Persons_85+,4145,2010-12-17,50
Persons_85+,4255,2010-12-24,51
Persons_85+,3778,2010-12-31,52
Males_Under 1 year,25,2010-01-08,1
Males_Under 1 year,40,2010-01-15,2
Males_Under 1 year,35,2010-01-22,3
Males_Under 1 year,39,2010-01-29,4
Males_Under 1 year,32,2010-02-05,5
Males_Under 1 year,45,2010-02-12,6
Males_Under 1 year,40,2010-02-19,7
Males_Under 1 year,36,2010-02-26,8
Males_Under 1 year,33,2010-03-05,9
Males_Under 1 year,27,2010-03-12,10
Males_Under 1 year,34,2010-03-19,11
Males_Under 1 year,37,2010-03-26,12
Males_Under 1 year,28,2010-04-02,13
Males_Under 1 year,35,2010-04-09,14
Males_Under 1 year,38,2010-04-16,15
Males_Under 1 year,35,2010-04-23,16
Males_Under 1 year,33,2010-04-30,17
Males_Under 1 year,32,2010-05-07,18
Males_Under 1 year,33,2010-05-14,19
Males_Under 1 year,35,2010-05-21,20
Males_Under 1 year,43,2010-05-28,21
Males_Under 1 year,30,2010-06-04,22
Males_Under 1 year,30,2010-06-11,23
Males_Under 1 year,32,2010-06-18,24
Males_Under 1 year,37,2010-06-25,25
Males_Under 1 year,31,2010-07-02,26
Males_Under 1 year,34,2010-07-09,27
Males_Under 1 year,36,2010-07-16,28
Males_Under 1 year,33,2010-07-23,29
Males_Under 1 year,40,2010-07-30,30
Males_Under 1 year,28,2010-08-06,31
Males_Under 1 year,38,2010-08-13,32
Males_Under 1 year,26,2010-08-20,33
Males_Under 1 year,28,2010-08-27,34
Males_Under 1 year,26,2010-09-03,35
Males_Under 1 year,33,2010-09-10,36
Males_Under 1 year,37,2010-09-17,37
Males_Under 1 year,30,2010-09-24,38
Males_Under 1 year,43,2010-10-01,39
Males_Under 1 year,38,2010-10-08,40
Males_Under 1 year,35,2010-10-15,41
Males_Under 1 year,23,2010-10-22,42
Males_Under 1 year,27,2010-10-29,43
Males_Under 1 year,38,2010-11-05,44
Males_Under 1 year,28,2010-11-12,45
Males_Under 1 year,32,2010-11-19,46
Males_Under 1 year,32,2010-11-26,47
Males_Under 1 year,22,2010-12-03,48
Males_Under 1 year,38,2010-12-10,49
Males_Under 1 year,35,2010-12-17,50
Males_Under 1 year,39,2010-12-24,51
Males_Under 1 year,24,2010-12-31,52
Males_01-14,9,2010-01-08,1
Males_01-14,17,2010-01-15,2
Males_01-14,9,2010-01-22,3
Males_01-14,9,2010-01-29,4
Males_01-14,11,2010-02-05,5
Males_01-14,14,2010-02-12,6
Males_01-14,3,2010-02-19,7
Males_01-14,14,2010-02-26,8
Males_01-14,16,2010-03-05,9
Males_01-14,20,2010-03-12,10
Males_01-14,14,2010-03-19,11
Males_01-14,17,2010-03-26,12
Males_01-14,8,2010-04-02,13
Males_01-14,9,2010-04-09,14
Males_01-14,8,2010-04-16,15
Males_01-14,16,2010-04-23,16
Males_01-14,12,2010-04-30,17
Males_01-14,8,2010-05-07,18
Males_01-14,10,2010-05-14,19
Males_01-14,12,2010-05-21,20
Males_01-14,18,2010-05-28,21
Males_01-14,14,2010-06-04,22
Males_01-14,5,2010-06-11,23
Males_01-14,10,2010-06-18,24
Males_01-14,6,2010-06-25,25
Males_01-14,9,2010-07-02,26
Males_01-14,14,2010-07-09,27
Males_01-14,15,2010-07-16,28
Males_01-14,8,2010-07-23,29
Males_01-14,7,2010-07-30,30
Males_01-14,10,2010-08-06,31
Males_01-14,6,2010-08-13,32
Males_01-14,8,2010-08-20,33
Males_01-14,11,2010-08-27,34
Males_01-14,7,2010-09-03,35
Males_01-14,11,2010-09-10,36
Males_01-14,13,2010-09-17,37
Males_01-14,14,2010-09-24,38
Males_01-14,10,2010-10-01,39
Males_01-14,17,2010-10-08,40
Males_01-14,18,2010-10-15,41
